Ensembl	Gene	"Gene description"	Uniprot	Evidence
ENSG00000127415	IDUA	"Iduronidase, alpha-L-"	P35475	"Evidence at protein level"
ENSG00000115267	IFIH1	"Interferon induced with helicase C domain 1"	Q9BYX4	"Evidence at protein level"
ENSG00000132740	IGHMBP2	"Immunoglobulin mu binding protein 2"	P38935	"Evidence at protein level"
ENSG00000184903	IMMP2L	"Inner mitochondrial membrane peptidase subunit 2"	Q96T52	"Evidence at protein level"
ENSG00000133731	IMPA1	"Inositol monophosphatase 1"	P29218	"Evidence at protein level"
ENSG00000104331	IMPAD1	"Inositol monophosphatase domain containing 1"	Q9NX62	"Evidence at protein level"
ENSG00000148384	INPP5E	"Inositol polyphosphate-5-phosphatase E"	Q9NRR6	"Evidence at protein level"
ENSG00000132376	INPP5K	"Inositol polyphosphate-5-phosphatase K"	Q9BT40	"Evidence at protein level"
ENSG00000165458	INPPL1	"Inositol polyphosphate phosphatase like 1"	O15357	"Evidence at protein level"
ENSG00000090376	IRAK3	"Interleukin 1 receptor associated kinase 3"	Q9Y616	"Evidence at protein level"
ENSG00000198001	IRAK4	"Interleukin 1 receptor associated kinase 4"	Q9NWZ3	"Evidence at protein level"
ENSG00000214960	ISPD	"Isoprenoid synthase domain containing"	A4D126	"Evidence at protein level"
ENSG00000078747	ITCH	"Itchy E3 ubiquitin protein ligase"	Q96J02	"Evidence at protein level"
ENSG00000091409	ITGA6	"Integrin subunit alpha 6"	P23229	"Evidence at protein level"
ENSG00000113263	ITK	"IL2 inducible T cell kinase"	Q08881	"Evidence at protein level"
ENSG00000125877	ITPA	"Inosine triphosphatase"	Q9BY32	"Evidence at protein level"
ENSG00000086544	ITPKC	"Inositol-trisphosphate 3-kinase C"	Q96DU7	"Evidence at protein level"
ENSG00000150995	ITPR1	"Inositol 1,4,5-trisphosphate receptor type 1"	Q14643	"Evidence at protein level"
ENSG00000128928	IVD	"Isovaleryl-CoA dehydrogenase"	P26440	"Evidence at protein level"
ENSG00000009765	IYD	"Iodotyrosine deiodinase"	Q6PHW0	"Evidence at protein level"
ENSG00000160145	KALRN	"Kalirin RhoGEF kinase"	O60229	"Evidence at protein level"
ENSG00000065427	KARS	"Lysyl-tRNA synthetase"	Q15046	"Evidence at protein level"
ENSG00000114166	KAT2B	"Lysine acetyltransferase 2B"	Q92831	"Evidence at protein level"
ENSG00000083168	KAT6A	"Lysine acetyltransferase 6A"	Q92794	"Evidence at protein level"
ENSG00000156650	KAT6B	"Lysine acetyltransferase 6B"	Q8WYB5	"Evidence at protein level"
ENSG00000143473	KCNH1	"Potassium voltage-gated channel subfamily H member 1"	O95259	"Evidence at protein level"
ENSG00000177807	KCNJ10	"Potassium voltage-gated channel subfamily J member 10"	P78508	"Evidence at protein level"
ENSG00000115474	KCNJ13	"Potassium voltage-gated channel subfamily J member 13"	O60928	"Evidence at protein level"
ENSG00000123700	KCNJ2	"Potassium voltage-gated channel subfamily J member 2"	P63252	"Evidence at protein level"
ENSG00000120457	KCNJ5	"Potassium voltage-gated channel subfamily J member 5"	P48544	"Evidence at protein level"
ENSG00000157542	KCNJ6	"Potassium voltage-gated channel subfamily J member 6"	P48051	"Evidence at protein level"
ENSG00000186795	KCNK18	"Potassium two pore domain channel subfamily K member 18"	Q7Z418	"Evidence at protein level"
ENSG00000117013	KCNQ4	"Potassium voltage-gated channel subfamily Q member 4"	P56696	"Evidence at protein level"
ENSG00000185760	KCNQ5	"Potassium voltage-gated channel subfamily Q member 5"	Q9NR82	"Evidence at protein level"
ENSG00000107147	KCNT1	"Potassium sodium-activated channel subfamily T member 1"	Q5JUK3	"Evidence at protein level"
ENSG00000168263	KCNV2	"Potassium voltage-gated channel modifier subfamily V member 2"	Q8TDN2	"Evidence at protein level"
ENSG00000119537	KDSR	"3-ketodihydrosphingosine reductase"	Q06136	"Evidence at protein level"
ENSG00000138030	KHK	Ketohexokinase	P50053	"Evidence at protein level"
ENSG00000116014	KISS1R	"KISS1 receptor"	Q969F8	"Evidence at protein level"
ENSG00000133116	KL	Klotho	Q9UEF7	"Evidence at protein level"
ENSG00000167749	KLK4	"Kallikrein related peptidase 4"	Q9Y5K2	"Evidence at protein level"
ENSG00000118058	KMT2A	"Lysine methyltransferase 2A"	Q03164	"Evidence at protein level"
ENSG00000272333	KMT2B	"Lysine methyltransferase 2B"	Q9UMN6	"Evidence at protein level"
ENSG00000055609	KMT2C	"Lysine methyltransferase 2C"	Q8NEZ4	"Evidence at protein level"
ENSG00000167548	KMT2D	"Lysine methyltransferase 2D"	O14686	"Evidence at protein level"
ENSG00000115919	KYNU	Kynureninase	Q16719	"Evidence at protein level"
ENSG00000087299	L2HGDH	"L-2-hydroxyglutarate dehydrogenase"	Q9H9P8	"Evidence at protein level"
ENSG00000005893	LAMP2	"Lysosomal associated membrane protein 2"	P13473	"Evidence at protein level"
ENSG00000133706	LARS	"Leucyl-tRNA synthetase"	Q9P2J5	"Evidence at protein level"
ENSG00000011376	LARS2	"Leucyl-tRNA synthetase 2, mitochondrial"	Q15031	"Evidence at protein level"
ENSG00000213398	LCAT	"Lecithin-cholesterol acyltransferase"	P04180	"Evidence at protein level"
ENSG00000115850	LCT	Lactase	P09848	"Evidence at protein level"
ENSG00000106003	LFNG	"LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"	Q8NES3	"Evidence at protein level"
ENSG00000205213	LGR4	"Leucine rich repeat containing G protein-coupled receptor 4"	Q9BXB1	"Evidence at protein level"
ENSG00000197753	LHFPL5	"LHFPL tetraspan subfamily member 5"	Q8TAF8	"Evidence at protein level"
ENSG00000183722	LHFPL6	"LHFPL tetraspan subfamily member 6"	Q9Y693	"Evidence at protein level"
ENSG00000121897	LIAS	"Lipoic acid synthetase"	O43766	"Evidence at protein level"
ENSG00000174405	LIG4	"DNA ligase 4"	P49917	"Evidence at protein level"
ENSG00000106683	LIMK1	"LIM domain kinase 1"	P53667	"Evidence at protein level"
ENSG00000107798	LIPA	"Lipase A, lysosomal acid type"	P38571	"Evidence at protein level"
ENSG00000166035	LIPC	"Lipase C, hepatic type"	P11150	"Evidence at protein level"
ENSG00000079435	LIPE	"Lipase E, hormone sensitive type"	Q05469	"Evidence at protein level"
ENSG00000175536	LIPT2	"Lipoyl(octanoyl) transferase 2"	A6NK58	"Evidence at protein level"
ENSG00000168216	LMBRD1	"LMBR1 domain containing 1"	Q9NUN5	"Evidence at protein level"
ENSG00000196365	LONP1	"Lon peptidase 1, mitochondrial"	P36776	"Evidence at protein level"
ENSG00000113083	LOX	"Lysyl oxidase"	P28300	"Evidence at protein level"
ENSG00000115318	LOXL3	"Lysyl oxidase like 3"	P58215	"Evidence at protein level"
ENSG00000139679	LPAR6	"Lysophosphatidic acid receptor 6"	P43657	"Evidence at protein level"
ENSG00000134324	LPIN1	"Lipin 1"	Q14693	"Evidence at protein level"
ENSG00000101577	LPIN2	"Lipin 2"	Q92539	"Evidence at protein level"
ENSG00000121207	LRAT	"Lecithin retinol acyltransferase"	O95237	"Evidence at protein level"
ENSG00000081479	LRP2	"LDL receptor related protein 2"	P98164	"Evidence at protein level"
ENSG00000136802	LRRC8A	"Leucine rich repeat containing 8 VRAC subunit A"	Q8IWT6	"Evidence at protein level"
ENSG00000188906	LRRK2	"Leucine rich repeat kinase 2"	Q5S007	"Evidence at protein level"
ENSG00000148356	LRSAM1	"Leucine rich repeat and sterile alpha motif containing 1"	Q6UWE0	"Evidence at protein level"
ENSG00000184154	LRTOMT	"Leucine rich transmembrane and O-methyltransferase domain containing"	"Q8WZ04, Q96E66"	"Evidence at protein level"
ENSG00000160285	LSS	"Lanosterol synthase"	P48449	"Evidence at protein level"
ENSG00000213316	LTC4S	"Leukotriene C4 synthase"	Q16873	"Evidence at protein level"
ENSG00000062524	LTK	"Leukocyte receptor tyrosine kinase"	P29376	"Evidence at protein level"
ENSG00000254087	LYN	"LYN proto-oncogene, Src family tyrosine kinase"	P07948	"Evidence at protein level"
ENSG00000090382	LYZ	Lysozyme	P61626	"Evidence at protein level"
ENSG00000187391	MAGI2	"Membrane associated guanylate kinase, WW and PDZ domain containing 2"	Q86UL8	"Evidence at protein level"
ENSG00000102158	MAGT1	"Magnesium transporter 1"	Q9H0U3	"Evidence at protein level"
ENSG00000111837	MAK	"Male germ cell associated kinase"	P20794	"Evidence at protein level"
ENSG00000172175	MALT1	"MALT1 paracaspase"	Q9UDY8	"Evidence at protein level"
ENSG00000177239	MAN1B1	"Mannosidase alpha class 1B member 1"	Q9UKM7	"Evidence at protein level"
ENSG00000104774	MAN2B1	"Mannosidase alpha class 2B member 1"	O00754	"Evidence at protein level"
ENSG00000109323	MANBA	"Mannosidase beta"	O00462	"Evidence at protein level"
ENSG00000034152	MAP2K3	"Mitogen-activated protein kinase kinase 3"	P46734	"Evidence at protein level"
ENSG00000095015	MAP3K1	"Mitogen-activated protein kinase kinase kinase 1"	Q13233	"Evidence at protein level"
ENSG00000091436	MAP3K20	"Mitogen-activated protein kinase kinase kinase 20"	Q9NYL2	"Evidence at protein level"
ENSG00000135341	MAP3K7	"Mitogen-activated protein kinase kinase kinase 7"	O43318	"Evidence at protein level"
ENSG00000006432	MAP3K9	"Mitogen-activated protein kinase kinase kinase 9"	P80192	"Evidence at protein level"
ENSG00000109339	MAPK10	"Mitogen-activated protein kinase 10"	P53779	"Evidence at protein level"
ENSG00000188130	MAPK12	"Mitogen-activated protein kinase 12"	P53778	"Evidence at protein level"
ENSG00000114738	MAPKAPK3	"Mitogen-activated protein kinase-activated protein kinase 3"	Q16644	"Evidence at protein level"
ENSG00000116141	MARK1	"Microtubule affinity regulating kinase 1"	Q9P0L2	"Evidence at protein level"
ENSG00000166986	MARS	"Methionyl-tRNA synthetase"	P56192	"Evidence at protein level"
ENSG00000247626	MARS2	"Methionyl-tRNA synthetase 2, mitochondrial"	Q96GW9	"Evidence at protein level"
ENSG00000152939	MARVELD2	"MARVEL domain containing 2"	Q8N4S9	"Evidence at protein level"
ENSG00000130368	MAS1	"MAS1 proto-oncogene, G protein-coupled receptor"	P04201	"Evidence at protein level"
ENSG00000127241	MASP1	"Mannan binding lectin serine peptidase 1"	P48740	"Evidence at protein level"
ENSG00000009724	MASP2	"Mannan binding lectin serine peptidase 2"	O00187	"Evidence at protein level"
ENSG00000120539	MASTL	"Microtubule associated serine/threonine kinase like"	Q96GX5	"Evidence at protein level"
ENSG00000151224	MAT1A	"Methionine adenosyltransferase 1A"	Q00266	"Evidence at protein level"
ENSG00000125505	MBOAT7	"Membrane bound O-acyltransferase domain containing 7"	Q96N66	"Evidence at protein level"
ENSG00000012174	MBTPS2	"Membrane bound transcription factor peptidase, site 2"	O43462	"Evidence at protein level"
ENSG00000258839	MC1R	"Melanocortin 1 receptor"	Q01726	"Evidence at protein level"
ENSG00000166603	MC4R	"Melanocortin 4 receptor"	P32245	"Evidence at protein level"
ENSG00000078070	MCCC1	"Methylcrotonoyl-CoA carboxylase 1"	Q96RQ3	"Evidence at protein level"
ENSG00000131844	MCCC2	"Methylcrotonoyl-CoA carboxylase 2"	Q9HCC0	"Evidence at protein level"
ENSG00000124370	MCEE	"Methylmalonyl-CoA epimerase"	Q96PE7	"Evidence at protein level"
ENSG00000073111	MCM2	"Minichromosome maintenance complex component 2"	P49736	"Evidence at protein level"
ENSG00000104738	MCM4	"Minichromosome maintenance complex component 4"	P33991	"Evidence at protein level"
ENSG00000100297	MCM5	"Minichromosome maintenance complex component 5"	P33992	"Evidence at protein level"
ENSG00000125885	MCM8	"Minichromosome maintenance 8 homologous recombination repair factor"	Q9UJA3	"Evidence at protein level"
ENSG00000111877	MCM9	"Minichromosome maintenance 9 homologous recombination repair factor"	Q9NXL9	"Evidence at protein level"
ENSG00000090674	MCOLN1	"Mucolipin 1"	Q9GZU1	"Evidence at protein level"
ENSG00000135679	MDM2	"MDM2 proto-oncogene"	Q00987	"Evidence at protein level"
ENSG00000116353	MECR	"Mitochondrial trans-2-enoyl-CoA reductase"	Q9BV79	"Evidence at protein level"
ENSG00000165304	MELK	"Maternal embryonic leucine zipper kinase"	Q14680	"Evidence at protein level"
ENSG00000153208	MERTK	"MER proto-oncogene, tyrosine kinase"	Q12866	"Evidence at protein level"
ENSG00000176624	MEX3C	"Mex-3 RNA binding family member C"	Q5U5Q3	"Evidence at protein level"
ENSG00000116688	MFN2	"Mitofusin 2"	O95140	"Evidence at protein level"
ENSG00000168389	MFSD2A	"Major facilitator superfamily domain containing 2A"	Q8NA29	"Evidence at protein level"
ENSG00000164073	MFSD8	"Major facilitator superfamily domain containing 8"	Q8NHS3	"Evidence at protein level"
ENSG00000168282	MGAT2	"Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"	Q10469	"Evidence at protein level"
ENSG00000101752	MIB1	"Mindbomb E3 ubiquitin protein ligase 1"	Q86YT6	"Evidence at protein level"
ENSG00000107745	MICU1	"Mitochondrial calcium uptake 1"	Q9BPX6	"Evidence at protein level"
ENSG00000101871	MID1	"Midline 1"	O15344	"Evidence at protein level"
ENSG00000080561	MID2	"Midline 2"	Q9UJV3	"Evidence at protein level"
ENSG00000107789	MINPP1	"Multiple inositol-polyphosphate phosphatase 1"	Q9UNW1	"Evidence at protein level"
ENSG00000027001	MIPEP	"Mitochondrial intermediate peptidase"	Q99797	"Evidence at protein level"
ENSG00000179455	MKRN3	"Makorin ring finger protein 3"	Q13064	"Evidence at protein level"
ENSG00000100427	MLC1	"Megalencephalic leukoencephalopathy with subcortical cysts 1"	Q15049	"Evidence at protein level"
ENSG00000103150	MLYCD	"Malonyl-CoA decarboxylase"	O95822	"Evidence at protein level"
ENSG00000139428	MMAB	"Methylmalonic aciduria (cobalamin deficiency) cblB type"	Q96EY8	"Evidence at protein level"
ENSG00000075643	MOCOS	"Molybdenum cofactor sulfurase"	Q96EN8	"Evidence at protein level"
ENSG00000124615	MOCS1	"Molybdenum cofactor synthesis 1"	Q9NZB8	"Evidence at protein level"
ENSG00000164172	MOCS2	"Molybdenum cofactor synthesis 2"	"O96007, O96033"	"Evidence at protein level"
ENSG00000115275	MOGS	"Mannosyl-oligosaccharide glucosidase"	Q13724	"Evidence at protein level"
ENSG00000060762	MPC1	"Mitochondrial pyruvate carrier 1"	Q9Y5U8	"Evidence at protein level"
ENSG00000178802	MPI	"Mannose phosphate isomerase"	P34949	"Evidence at protein level"
ENSG00000005381	MPO	Myeloperoxidase	P05164	"Evidence at protein level"
ENSG00000128309	MPST	"Mercaptopyruvate sulfurtransferase"	P25325	"Evidence at protein level"
ENSG00000115204	MPV17	"MPV17, mitochondrial inner membrane protein"	P39210	"Evidence at protein level"
ENSG00000052802	MSMO1	"Methylsterol monooxygenase 1"	Q15800	"Evidence at protein level"
ENSG00000174099	MSRB3	"Methionine sulfoxide reductase B3"	Q8IXL7	"Evidence at protein level"
ENSG00000164078	MST1R	"Macrophage stimulating 1 receptor"	Q04912	"Evidence at protein level"
ENSG00000198804	MT-CO1	"Mitochondrially encoded cytochrome c oxidase I"	P00395	"Evidence at protein level"
ENSG00000198712	MT-CO2	"Mitochondrially encoded cytochrome c oxidase II"	P00403	"Evidence at protein level"
ENSG00000198938	MT-CO3	"Mitochondrially encoded cytochrome c oxidase III"	P00414	"Evidence at protein level"
ENSG00000198888	MT-ND1	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1"	P03886	"Evidence at protein level"
ENSG00000198763	MT-ND2	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2"	P03891	"Evidence at protein level"
ENSG00000198840	MT-ND3	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3"	P03897	"Evidence at protein level"
ENSG00000198886	MT-ND4	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4"	P03905	"Evidence at protein level"
ENSG00000212907	MT-ND4L	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L"	P03901	"Evidence at protein level"
ENSG00000198786	MT-ND5	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5"	P03915	"Evidence at protein level"
ENSG00000198695	MT-ND6	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6"	P03923	"Evidence at protein level"
ENSG00000099810	MTAP	"Methylthioadenosine phosphorylase"	Q13126	"Evidence at protein level"
ENSG00000103707	MTFMT	"Mitochondrial methionyl-tRNA formyltransferase"	Q96DP5	"Evidence at protein level"
ENSG00000100714	MTHFD1	"Methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"	P11586	"Evidence at protein level"
ENSG00000177000	MTHFR	"Methylenetetrahydrofolate reductase"	P42898	"Evidence at protein level"
ENSG00000171100	MTM1	"Myotubularin 1"	Q13496	"Evidence at protein level"
ENSG00000087053	MTMR2	"Myotubularin related protein 2"	Q13614	"Evidence at protein level"
ENSG00000107951	MTPAP	"Mitochondrial poly(A) polymerase"	Q9NVV4	"Evidence at protein level"
ENSG00000124275	MTRR	"5-methyltetrahydrofolate-homocysteine methyltransferase reductase"	Q9UBK8	"Evidence at protein level"
ENSG00000030304	MUSK	"Muscle associated receptor tyrosine kinase"	O15146	"Evidence at protein level"
ENSG00000132781	MUTYH	"MutY DNA glycosylase"	Q9UIF7	"Evidence at protein level"
ENSG00000167508	MVD	"Mevalonate diphosphate decarboxylase"	P53602	"Evidence at protein level"
ENSG00000110921	MVK	"Mevalonate kinase"	Q03426	"Evidence at protein level"
ENSG00000065534	MYLK	"Myosin light chain kinase"	Q15746	"Evidence at protein level"
ENSG00000101306	MYLK2	"Myosin light chain kinase 2"	Q9H1R3	"Evidence at protein level"
ENSG00000187616	MYMK	"Myomaker, myoblast fusion factor"	A6NI61	"Evidence at protein level"
ENSG00000095777	MYO3A	"Myosin IIIA"	Q8NEV4	"Evidence at protein level"
ENSG00000102030	NAA10	"N(alpha)-acetyltransferase 10, NatA catalytic subunit"	P41227	"Evidence at protein level"
ENSG00000152620	NADK2	"NAD kinase 2, mitochondrial"	Q4G0N4	"Evidence at protein level"
ENSG00000198951	NAGA	Alpha-N-acetylgalactosaminidase	P17050	"Evidence at protein level"
ENSG00000108784	NAGLU	N-acetyl-alpha-glucosaminidase	P54802	"Evidence at protein level"
ENSG00000103174	NAGPA	"N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase"	Q9UK23	"Evidence at protein level"
ENSG00000161653	NAGS	"N-acetylglutamate synthase"	Q8N159	"Evidence at protein level"
ENSG00000102452	NALCN	"Sodium leak channel, non-selective"	Q8IZF0	"Evidence at protein level"
ENSG00000095380	NANS	"N-acetylneuraminate synthase"	Q9NR45	"Evidence at protein level"
ENSG00000137513	NARS2	"Asparaginyl-tRNA synthetase 2, mitochondrial"	Q96I59	"Evidence at protein level"
ENSG00000185818	NAT8L	"N-acetyltransferase 8 like"	Q8N9F0	"Evidence at protein level"
ENSG00000163382	NAXE	"NAD(P)HX epimerase"	Q8NCW5	"Evidence at protein level"
ENSG00000084676	NCOA1	"Nuclear receptor coactivator 1"	Q15788	"Evidence at protein level"
ENSG00000070614	NDST1	"N-deacetylase and N-sulfotransferase 1"	P52848	"Evidence at protein level"
ENSG00000003509	NDUFAF7	"NADH:ubiquinone oxidoreductase complex assembly factor 7"	Q7L592	"Evidence at protein level"
ENSG00000023228	NDUFS1	"NADH:ubiquinone oxidoreductase core subunit S1"	P28331	"Evidence at protein level"
ENSG00000158864	NDUFS2	"NADH:ubiquinone oxidoreductase core subunit S2"	O75306	"Evidence at protein level"
ENSG00000115286	NDUFS7	"NADH:ubiquinone oxidoreductase core subunit S7"	O75251	"Evidence at protein level"
ENSG00000110717	NDUFS8	"NADH:ubiquinone oxidoreductase core subunit S8"	O00217	"Evidence at protein level"
ENSG00000167792	NDUFV1	"NADH:ubiquinone oxidoreductase core subunit V1"	P49821	"Evidence at protein level"
ENSG00000049759	NEDD4L	"Neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase"	Q96PU5	"Evidence at protein level"
ENSG00000137601	NEK1	"NIMA related kinase 1"	Q96PY6	"Evidence at protein level"
ENSG00000117650	NEK2	"NIMA related kinase 2"	P51955	"Evidence at protein level"
ENSG00000160602	NEK8	"NIMA related kinase 8"	Q86SG6	"Evidence at protein level"
ENSG00000119638	NEK9	"NIMA related kinase 9"	Q8TD19	"Evidence at protein level"
ENSG00000204386	NEU1	"Neuraminidase 1"	Q99519	"Evidence at protein level"
ENSG00000151092	NGLY1	"N-glycanase 1"	Q96IV0	"Evidence at protein level"
ENSG00000187566	NHLRC1	"NHL repeat containing E3 ubiquitin protein ligase 1"	Q6VVB1	"Evidence at protein level"
ENSG00000170113	NIPA1	"Non imprinted in Prader-Willi/Angelman syndrome 1"	Q7RTP0	"Evidence at protein level"
ENSG00000172548	NIPAL4	"NIPA like domain containing 4"	Q0D2K0	"Evidence at protein level"
ENSG00000188580	NKAIN2	"Sodium/potassium transporting ATPase interacting 2"	Q5VXU1	"Evidence at transcript level"
ENSG00000173614	NMNAT1	"Nicotinamide nucleotide adenylyltransferase 1"	Q9HAN9	"Evidence at protein level"
ENSG00000148400	NOTCH1	"Notch 1"	P46531	"Evidence at protein level"
ENSG00000007952	NOX1	"NADPH oxidase 1"	Q9Y5S8	"Evidence at protein level"
ENSG00000141458	NPC1	"NPC intracellular cholesterol transporter 1"	O15118	"Evidence at protein level"
ENSG00000119655	NPC2	"NPC intracellular cholesterol transporter 2"	P61916	"Evidence at protein level"
ENSG00000116218	NPHS2	"NPHS2, podocin"	Q9NP85	"Evidence at protein level"
ENSG00000187258	NPSR1	"Neuropeptide S receptor 1"	Q6W5P4	"Evidence at protein level"
ENSG00000179915	NRXN1	"Neurexin 1"	"P58400, Q9ULB1"	"Evidence at protein level"
ENSG00000165671	NSD1	"Nuclear receptor binding SET domain protein 1"	Q96L73	"Evidence at protein level"
ENSG00000109685	NSD2	"Nuclear receptor binding SET domain protein 2"	O96028	"Evidence at protein level"
ENSG00000147548	NSD3	"Nuclear receptor binding SET domain protein 3"	Q9BZ95	"Evidence at protein level"
ENSG00000147383	NSDHL	"NAD(P) dependent steroid dehydrogenase-like"	Q15738	"Evidence at protein level"
ENSG00000037474	NSUN2	"NOP2/Sun RNA methyltransferase family member 2"	Q08J23	"Evidence at protein level"
ENSG00000076685	NT5C2	"5'-nucleotidase, cytosolic II"	P49902	"Evidence at protein level"
ENSG00000122643	NT5C3A	"5'-nucleotidase, cytosolic IIIA"	Q9H0P0	"Evidence at protein level"
ENSG00000135318	NT5E	"5'-nucleotidase ecto"	P21589	"Evidence at protein level"
ENSG00000065057	NTHL1	"Nth like DNA glycosylase 1"	P78549	"Evidence at protein level"
ENSG00000148053	NTRK2	"Neurotrophic receptor tyrosine kinase 2"	Q16620	"Evidence at protein level"
ENSG00000140538	NTRK3	"Neurotrophic receptor tyrosine kinase 3"	Q16288	"Evidence at protein level"
ENSG00000111581	NUP107	"Nucleoporin 107"	P57740	"Evidence at protein level"
ENSG00000113569	NUP155	"Nucleoporin 155"	O75694	"Evidence at protein level"
ENSG00000095319	NUP188	"Nucleoporin 188"	Q5SRE5	"Evidence at protein level"
ENSG00000155561	NUP205	"Nucleoporin 205"	Q92621	"Evidence at protein level"
ENSG00000126883	NUP214	"Nucleoporin 214"	P35658	"Evidence at protein level"
ENSG00000213024	NUP62	"Nucleoporin 62"	P37198	"Evidence at protein level"
ENSG00000102900	NUP93	"Nucleoporin 93"	Q8N1F7	"Evidence at protein level"
ENSG00000153989	NUS1	"NUS1 dehydrodolichyl diphosphate synthase subunit"	Q96E22	"Evidence at protein level"
ENSG00000065154	OAT	"Ornithine aminotransferase"	P04181	"Evidence at protein level"
ENSG00000154358	OBSCN	"Obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF"	Q5VST9	"Evidence at protein level"
ENSG00000104044	OCA2	"OCA2 melanosomal transmembrane protein"	Q04671	"Evidence at protein level"
ENSG00000197822	OCLN	Occludin	Q16625	"Evidence at protein level"
ENSG00000122126	OCRL	"OCRL, inositol polyphosphate-5-phosphatase"	Q01968	"Evidence at protein level"
ENSG00000114026	OGG1	"8-oxoguanine DNA glycosylase"	O15527	"Evidence at protein level"
ENSG00000147162	OGT	"O-linked N-acetylglucosamine (GlcNAc) transferase"	O15294	"Evidence at protein level"
ENSG00000198836	OPA1	"OPA1, mitochondrial dynamin like GTPase"	O60313	"Evidence at protein level"
ENSG00000178814	OPLAH	"5-oxoprolinase, ATP-hydrolysing"	O14841	"Evidence at protein level"
ENSG00000102076	OPN1LW	"Opsin 1, long wave sensitive"	P04000	"Evidence at protein level"
ENSG00000268221	OPN1MW	"Opsin 1, medium wave sensitive"	P04001	"Evidence at protein level"
ENSG00000128617	OPN1SW	"Opsin 1, short wave sensitive"	P03999	"Evidence at protein level"
ENSG00000276045	ORAI1	"ORAI calcium release-activated calcium modulator 1"	Q96D31	"Evidence at protein level"
ENSG00000092094	OSGEP	"O-sialoglycoprotein endopeptidase"	Q9NPF4	"Evidence at protein level"
ENSG00000081087	OSTM1	"Osteopetrosis associated transmembrane protein 1"	Q86WC4	"Evidence at protein level"
ENSG00000036473	OTC	"Ornithine carbamoyltransferase"	P00480	"Evidence at protein level"
ENSG00000155100	OTUD6B	"OTU domain containing 6B"	Q8N6M0	"Evidence at protein level"
ENSG00000154124	OTULIN	"OTU deubiquitinase with linear linkage specificity"	Q96BN8	"Evidence at protein level"
ENSG00000083720	OXCT1	"3-oxoacid CoA-transferase 1"	P55809	"Evidence at protein level"
ENSG00000117385	P3H1	"Prolyl 3-hydroxylase 1"	Q32P28	"Evidence at protein level"
ENSG00000090530	P3H2	"Prolyl 3-hydroxylase 2"	Q8IVL5	"Evidence at protein level"
ENSG00000072682	P4HA2	"Prolyl 4-hydroxylase subunit alpha 2"	O15460	"Evidence at protein level"
ENSG00000185624	P4HB	"Prolyl 4-hydroxylase subunit beta"	P07237	"Evidence at protein level"
ENSG00000142619	PADI3	"Peptidyl arginine deiminase 3"	Q9ULW8	"Evidence at protein level"
ENSG00000159339	PADI4	"Peptidyl arginine deiminase 4"	Q9UM07	"Evidence at protein level"
ENSG00000276747	PADI6	"Peptidyl arginine deiminase 6"	Q6TGC4	"Evidence at protein level"
ENSG00000077264	PAK3	"P21 (RAC1) activated kinase 3"	O75914	"Evidence at protein level"
ENSG00000125779	PANK2	"Pantothenate kinase 2"	Q9BZ23	"Evidence at protein level"
ENSG00000198682	PAPSS2	"3'-phosphoadenosine 5'-phosphosulfate synthase 2"	O95340	"Evidence at protein level"
ENSG00000116288	PARK7	"Parkinsonism associated deglycase"	Q99497	"Evidence at protein level"
ENSG00000140694	PARN	"Poly(A)-specific ribonuclease"	O95453	"Evidence at protein level"
ENSG00000138496	PARP9	"Poly(ADP-ribose) polymerase family member 9"	Q8IXQ6	"Evidence at protein level"
ENSG00000173599	PC	"Pyruvate carboxylase"	P11498	"Evidence at protein level"
ENSG00000166228	PCBD1	"Pterin-4 alpha-carbinolamine dehydratase 1"	P61457	"Evidence at protein level"
ENSG00000175198	PCCA	"Propionyl-CoA carboxylase alpha subunit"	P05165	"Evidence at protein level"
ENSG00000114054	PCCB	"Propionyl-CoA carboxylase beta subunit"	P05166	"Evidence at protein level"
ENSG00000124253	PCK1	"Phosphoenolpyruvate carboxykinase 1"	P35558	"Evidence at protein level"
ENSG00000100889	PCK2	"Phosphoenolpyruvate carboxykinase 2, mitochondrial"	Q16822	"Evidence at protein level"
ENSG00000175426	PCSK1	"Proprotein convertase subtilisin/kexin type 1"	P29120	"Evidence at protein level"
ENSG00000161217	PCYT1A	"Phosphate cytidylyltransferase 1, choline, alpha"	P49585	"Evidence at protein level"
ENSG00000185527	PDE6G	"Phosphodiesterase 6G"	P18545	"Evidence at protein level"
